$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
110$35044551$TME live 刘若英“陪你”线上演唱会$Smilececi$2020-05-0114:25:20$0$奶茶还是这么温暖，娓娓道来的同时轻轻唱起各种经典曲目，从飘洋过来看你到后来到快乐天堂，都太治愈了！
111$35044551$TME live 刘若英“陪你”线上演唱会$沙漠你爱吗$2020-05-0318:44:39$0$选歌水平是王者段位了
112$35044551$TME live 刘若英“陪你”线上演唱会$L$2020-06-0709:14:05$0$歌都很好听，讲话占了一半的时间…
113$35044551$TME live 刘若英“陪你”线上演唱会$橘子$2021-01-0102:37:50$0$《妈妈》忘词重唱，《派对动物》随意唱了两句，结尾《快乐天堂》肆意发挥……这就是Live最最最动人的随机性啊！是疫情期间看过的最温暖的线上音乐会。
114$35044551$TME live 刘若英“陪你”线上演唱会$nooomi$2020-04-2820:57:13$0$当然是瞬间回到十七岁仲夏，你吻我的那个夜晚
115$35044551$TME live 刘若英“陪你”线上演唱会$铁石心肠的船长$2020-04-2719:19:44$0$不一样的配方一样的味道！就像是一位熟人，温柔的在你身边唱好听的歌，不仅温柔还给你力量。
116$35044551$TME live 刘若英“陪你”线上演唱会$库洛塞$2020-05-0723:35:49$0$这是我看过最柔软的演唱会了！
117$35044551$TME live 刘若英“陪你”线上演唱会$三冬。$2020-10-3118:25:31$0$《媽媽》可能是今年冬天我最愛的一首歌，劉若英的聲綫太殺我。
118$35044551$TME live 刘若英“陪你”线上演唱会$污肖$2020-07-1901:46:28$0$直播那天是我喜欢奶茶十年零一天。是你啊，我心里的白月光。评论说这一场她的选歌很加分。其实她在选歌方面优秀很久了，她几年来在上海简单生活节的表演，选曲都是这样让人惊喜。即使是第一次听她现场，也会相信她的感染力就是天后级别。
119$35044551$TME live 刘若英“陪你”线上演唱会$冥王星早餐$2020-05-0917:05:37$0$越长大，越是会被奶茶感动到。这个世界变得太快了，快到奶茶有了各种各样的品牌，各种各样的口味，但令人怀念的往往是当初那一杯很纯粹只加了珍珠的朴素奶茶，刘若英就是这样一杯奶茶。
120$35044551$TME live 刘若英“陪你”线上演唱会$元氣大叔$2020-04-2612:12:43$0$谢谢奶茶，”人生没有那么难”，大家一起加油哦！
121$35044551$TME live 刘若英“陪你”线上演唱会$Prometheus$2020-04-2613:13:25$0$前面半小时和工作人员的互动花絮有趣诶，翻唱了好多别人的歌，最后成全和后来跟着在家大合唱，奶茶还是那么知性”
122$35044551$TME live 刘若英“陪你”线上演唱会$dryad$2020-04-3020:16:07$0$看的直播，卡的细碎
123$35044551$TME live 刘若英“陪你”线上演唱会$诵南$2020-05-0700:51:26$1$感受到了刘若英的可爱，比印象中生动很多。演唱会也办得用心，从前觉得《后来》不过是流行口水歌，如今再听，深情难过到几欲泪下。（2020.04.17）
124$35044551$TME live 刘若英“陪你”线上演唱会$呓鹿$2020-04-3022:56:30$0$第一次听直播演唱会
125$35044551$TME live 刘若英“陪你”线上演唱会$空口言锤$2020-04-2612:54:41$0$刘若英是个聪明人
126$35044551$TME live 刘若英“陪你”线上演唱会$✰熟透的番茄$2020-05-0119:55:50$0$🥤🥤
127$35044551$TME live 刘若英“陪你”线上演唱会$西瓜头$2020-04-2902:27:11$0$线上听歌，奶茶好温柔，而且分享给大家很多自我又温暖的故事，特别可爱
128$35044551$TME live 刘若英“陪你”线上演唱会$高詩遠$2020-06-2312:13:06$0$最大的感受其实就是温暖和感动。刘若英就好像那一些过来跟我们聊聊天的邻家大姐姐一样，一直都那么亲切和蔼，开头的《这个世界》和结尾的《快乐天堂》真的选的好好，虽然刘若英说她并不是一个很正能量的人，可是一直在给我们带来希望。随着这一代歌手慢慢长大是一件很幸福的事。
129$35044551$TME live 刘若英“陪你”线上演唱会$風Frank$2020-07-1123:12:24$0$安静听歌
130$35044551$TME live 刘若英“陪你”线上演唱会$Frankman🌈$2020-07-1110:49:50$0$奶茶真的好温柔，一种让人很舒服的气质透过屏幕都可以感受到。
131$35044551$TME live 刘若英“陪你”线上演唱会$Carol.Loo$2021-01-2002:23:30$0$循环成全
132$35044551$TME live 刘若英“陪你”线上演唱会$ice_crealin$2020-04-2713:23:26$0$隔着屏幕也要大合唱，温暖。台前幕后的工作人员很可爱。
133$35044551$TME live 刘若英“陪你”线上演唱会$不见森林$2020-04-3019:19:36$0$奶茶依旧温暖
134$35044551$TME live 刘若英“陪你”线上演唱会$Adore🏳️‍🌈$2020-04-2723:50:36$0$居然可以完美match我的歌单，感动十足。
135$35044551$TME live 刘若英“陪你”线上演唱会$兔西施$2020-08-0802:52:56$0$把声好温柔。
136$35044551$TME live 刘若英“陪你”线上演唱会$Viviwei$2020-06-3000:00:53$0$自然洒脱的歌话人生
137$35044551$TME live 刘若英“陪你”线上演唱会$魔力ESP$2020-05-0514:09:41$0$让我感受到了另一个不同的刘若英！
