排名/年,year,name,box,score,导演,卡司,id
293,2018,江湖儿女,6949.3,7.6,贾樟柯,"赵涛, 廖凡, 徐峥, 梁嘉艳, 刁亦男",26972258
301,2018,悲伤逆流成河,35490.7,5.8,落落,"赵英博, 任敏, 辛云来, 章若楠, 朱丹妮",27102569
303,2018,影,62832.3,7.2,张艺谋,"邓超, 孙俪, 郑恺, 王千源, 王景春",4864908
304,2018,李茶的姑妈,60391.4,4.6,吴昱翰,"黄才伦, 艾伦, 宋阳, 卢靖姗, 沈腾",27092785
306,2018,无双,127176.7,8.0,庄文强,"周润发, 郭富城, 张静初, 冯文娟, 廖启智",26425063
348,2018,毒液：致命守护者,187065.4,7.2,鲁本·弗雷斯彻,"汤姆·哈迪, 米歇尔·威廉姆斯, 里兹·阿迈德, 斯科特·黑兹, 瑞德·斯科特",3168101
360,2018,无名之辈,79450.9,8.0,饶晓志,"陈建斌, 任素汐, 潘斌龙, 章宇, 王砚辉",27110296
381,2018,狗十三,5118.3,8.2,曹保平,"张雪迎, 果靖霖, 智一桐, 代旭, 黄诗佳",25716096
417,2018,来电狂响,64017.8,5.7,于淼,"佟大为, 马丽, 霍思燕, 乔杉, 田雨",30377703
2,2019,大黄蜂,114755.4,7.0,特拉维斯·奈特,"海莉·斯坦菲尔德, 小豪尔赫·兰登伯格, 约翰·塞纳, 杰森·德鲁克, 帕梅拉·阿德龙",26394152
12,2019,白蛇：缘起,44863.5,7.8,"黄家康, 赵霁","张喆, 杨天翔, 唐小喜, 刘薇, 张遥函",30331149
14,2019,“大”人物,37966.4,6.4,五百,"王千源, 包贝尔, 王迅, 王砚辉, 屈菁菁",26816076
38,2019,疯狂的外星人,219197.1,6.4,宁浩,"黄渤, 沈腾, 汤姆·派福瑞, 马修·莫里森, 徐峥",25986662
39,2019,流浪地球,467462.7,7.9,郭帆,"吴京, 屈楚萧, 李光洁, 吴孟达, 赵今麦",26266893
40,2019,飞驰人生,171674.6,6.9,韩寒,"沈腾, 黄景瑜, 尹正, 张本煜, 尹昉",30163509
41,2019,新喜剧之王,62443.7,5.7,"周星驰, 邱礼涛, 肖鹤, 黄骁鹏","王宝强, 鄂靖文, 张全蛋, 景如洋, 张琪",4840388
74,2019,地久天长,4517.8,8.0,王小帅,"王景春, 咏梅, 齐溪, 王源, 杜江",26715636
75,2019,老师·好,35333.4,6.6,张栾,"于谦, 汤梦佳, 王广源, 秦鸣悦, 徐子力",27663742
88,2019,风中有朵雨做的云,6472.2,7.2,娄烨,"井柏然, 宋佳, 马思纯, 秦昊, 陈妍希",26728669
220,2019,银河补习班,87234.8,6.2,"邓超, 俞白眉","邓超, 白宇, 任素汐, 王西, 孙浠伦",30282387
232,2019,哪吒之魔童降世,500112.6,8.4,饺子,"吕艳婷, 囧森瑟夫, 瀚墨, 陈浩, 绿绮",26794435
233,2019,烈火英雄,169131.7,6.4,陈国辉,"黄晓明, 杜江, 谭卓, 杨紫, 欧豪",30221757
276,2019,罗小黑战记,31382.3,8.0,"木头, 皇贞季, 顾杰","山新, 郝祥海, 刘明月, 曹云图, 叮当",26709258
299,2019,攀登者,109694.0,6.0,李仁港,"吴京, 章子怡, 井柏然, 张译, 胡歌",30413052
300,2019,中国机长,290004.1,6.6,刘伟强,"张涵予, 欧豪, 杜江, 袁泉, 张天爱",30295905
301,2019,我和我的祖国,317118.9,7.6,"陈凯歌, 张一白, 管虎, 薛晓路, 徐峥, 宁浩, 文牧野","黄渤, 张译, 韩昊霖, 杜江, 葛优",32659890
319,2019,少年的你,154494.9,8.2,曾国祥,"周冬雨, 易烊千玺, 尹昉, 周也, 吴越",30166972
363,2019,误杀,133074.3,7.5,柯汶利,"肖央, 谭卓, 陈冲, 姜皓文, 秦沛",30176393
376,2019,半个喜剧,18840.8,7.3,"周申, 刘露","任素汐, 吴昱翰, 刘迅, 汤敏, 赵海燕",30269016
32,2020,1917,6911.0,8.5,萨姆·门德斯,"乔治·麦凯, 迪恩-查尔斯·查普曼, 科林·费尔斯, 本尼迪克特·康伯巴奇, 马克·斯特朗",30252495
43,2020,八佰,309448.2,7.5,管虎,"王千源, 张译, 姜武, 黄志忠, 张俊一",26754233
68,2020,夺冠,83485.2,7.1,陈可辛,"巩俐, 黄渤, 吴刚, 彭昱畅, 白浪",30128916
70,2020,姜子牙,160017.3,6.6,"程腾, 李炜, 李夏, 王昕","郑希, 杨凝, 图特哈蒙, 阎么么, 季冠霖",25907124
71,2020,我和我的家乡,282653.2,7.0,"宁浩, 徐峥, 陈思诚, 闫非, 彭大魔, 邓超, 俞白眉","葛优, 黄渤, 范伟, 邓超, 沈腾",35051512
134,2020,沐浴之王,40471.1,6.0,易小星,"彭昱畅, 乔杉, 卜冠今, 苇青, 金世佳",34894753
143,2020,拆弹专家2,131382.5,7.4,邱礼涛,"刘德华, 刘青云, 倪妮, 谢君豪, 姜皓文",30171424
148,2020,送你一朵小红花,143246.0,7.2,韩延,"易烊千玺, 刘浩存, 朱媛媛, 高亚麟, 夏雨",35096844
24,2021,唐人街探案3,452234.3,5.3,陈思诚,"王宝强, 刘昊然, 妻夫木聪, 托尼·贾, 长泽雅美",27619748
25,2021,刺杀小说家,103523.0,6.5,路阳,"雷佳音, 杨幂, 董子健, 于和伟, 郭京飞",26826330
27,2021,你好，李焕英,541330.3,7.7,贾玲,"贾玲, 张小斐, 沈腾, 陈赫, 刘佳",34841067
28,2021,人潮汹涌,76247.6,6.5,饶晓志,"刘德华, 肖央, 万茜, 程怡, 黄小蕾",34880302
48,2021,我的姐姐,86018.4,6.9,殷若昕,"张子枫, 肖央, 朱媛媛, 段博文, 梁靖康",35158160
66,2021,悬崖之上,119004.6,7.4,张艺谋,"张译, 于和伟, 秦海璐, 朱亚文, 刘浩存",32493124
136,2021,怒火·重案,132925.9,7.2,陈木胜,"甄子丹, 谢霆锋, 秦岚, 谭耀文, 黄德斌",30174085
175,2021,长津湖,577136.0,7.4,"陈凯歌, 徐克, 林超贤, 宁海强","吴京, 易烊千玺, 段奕宏, 朱亚文, 李晨",25845392
207,2021,扬名立万,92667.5,7.4,刘循子墨,"尹正, 邓家佳, 喻恩泰, 杨皓宇, 陈明昊",35422807
230,2021,雄狮少年,24958.9,8.3,孙海鹏,"大昕, 大雄, 郭皓, 李盟, 李佳思",35144311
234,2021,爱情神话,26031.9,8.1,邵艺辉,"徐峥, 马伊琍, 吴越, 倪虹洁, 周野芒",35376457
18,2022,奇迹·笨小孩,137920.3,7.4,文牧野,"易烊千玺, 田雨, 陈哈琳, 齐溪, 公磊",35312437
21,2022,这个杀手不太冷静,262262.1,6.2,邢文雄,"马丽, 魏翔, 陈明昊, 周大勇, 黄才伦",35505100
89,2022,人生大事,171231.4,7.3,刘江江,"朱一龙, 杨恩又, 王戈, 刘陆, 罗京民",35460157
93,2022,隐入尘烟,10970.0,8.4,李睿珺,"武仁林, 海清, 杨光锐, 赵登平, 王彩兰",35131346
104,2022,独行月球,310291.1,6.6,张吃鱼,"沈腾, 马丽, 常远, 李诚儒, 黄才伦",35183042
3,2023,流浪地球2,402543.0,8.4,郭帆,"吴京, 刘德华, 李雪健, 沙溢, 宁理",35267208
5,2023,满江红,454369.0,7.1,张艺谋,"沈腾, 易烊千玺, 张译, 雷佳音, 岳云鹏",35766491
6,2023,无名,93069.0,6.7,程耳,"梁朝伟, 王一博, 周迅, 黄磊, 森博之",35372742
