$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
82$20435622$环太平洋：雷霆再起$大奇特(Grinch)$2018-03-24 17:17:58$8$这片适时描写了中美关系，军事基地和邵氏的关系很像传奇和万达当初的关系，一开始有层精神交战的意思，美国对东方崛起的经济侵略的惧外心理值得玩味。后来怪兽控制机甲如果能挑拨离间让双方开战，坐收渔翁之利会比现在更有趣。更现在还是流俗了，不过导演本人还是深受华语武侠片和日本剑戟片的影响。
83$20435622$环太平洋：雷霆再起$叶飞Phoenix$2018-03-23 22:08:50$14$电影里一共出现了三个次元：1、地球🌍；2、怪兽的次元👾；3、景甜的次元👩。
84$20435622$环太平洋：雷霆再起$若冲$2018-03-22 21:45:50$3$其实就七分，多的给景甜，虽然很无厘头的结束，但是戏份不少了，元素也是相当的多，其他……
85$20435622$环太平洋：雷霆再起$azhe$2018-03-24 10:10:13$10$没有了上一部宏大而令人振奋的配乐，看片的时候感觉好平淡。还有景甜太容易让人出戏！
86$20435622$环太平洋：雷霆再起$九命猫@victor-eyes$2018-03-23 15:34:14$13$中国到底投资了多少钱？还邵氏！请了张晋都不让人打一场！EVA和怪兽总是要去日本街市跑一场的。copy真嗣身世的黑人这么壮硕，那明日香在哪里？最后那招是无敌如来神掌海外变种吗？
87$20435622$环太平洋：雷霆再起$品客$2018-03-24 19:43:41$7$续作特别想要证明自己，通过弱化标志性的主题曲、杀死菊地凛子（可以不爱，但不要伤害）、景甜的译制腔台词等方式来努力的切断与前作的相同点，但这正是我们特别不想看到的改变！我们想要看的是各个不同国家特色的猎人机甲，驾驶员在城市里与kaiju浴血厮杀，而不是一条无聊又无趣的阴谋故事线！2.5星！
88$20435622$环太平洋：雷霆再起$无机客$2018-03-23 02:21:17$4$想给个7分。片子不算难看，编剧确实有花心思，比其他一些爆米花大片好点，结尾的解决方案太粗暴。当然，远远比不上第一部了。
89$20435622$环太平洋：雷霆再起$胤祥$2018-04-04 03:43:02$3$竟然观感还不错……放松身心看竟然还挺舒服的。虽说比较笨但是作为导演处女作（是哒竟然又是长片处女作）已经真的算不错了。景甜经此片果断获封中国科幻片女皇了哈哈哈。
90$20435622$环太平洋：雷霆再起$河狸$2018-03-23 15:22:47$5$景甜宇宙第三部，也是最好看的一部。战斗燃爆，特效一流，场面宏大，剧情热血。说像奥特曼的朋友，你确定你真的看过奥特曼吗？电影五星，景甜扣半星，四星半推荐，四舍五入算五星。
91$20435622$环太平洋：雷霆再起$死鱼田园$2018-03-23 01:58:33$29$支持国产，支持黑人，支持景甜，五星
92$20435622$环太平洋：雷霆再起$李广仙$2018-03-23 20:47:47$12$景甜拯救世界🤦🏻♀️
93$20435622$环太平洋：雷霆再起$蒜 | BOY A✎$2018-03-23 13:39:43$9$景甜再次拯救了世界
94$20435622$环太平洋：雷霆再起$张春[阿卡纳]$2018-03-23 17:21:10$13$看完好想当怪兽噢。
95$20435622$环太平洋：雷霆再起$嘉兴路派出所$2018-03-23 14:34:41$26$剧情还可以吧，最让人感到尴尬的是说中文的时候，真的很没有气势啊
96$20435622$环太平洋：雷霆再起$Hachiko$2018-03-23 15:45:54$24$陀螺导演当年的第一部让人眼前一亮，这么多年被我们津津乐道，我怀着最低期待值前来，但大部分时间让人如坐针毡，随处是尴尬的台词，莫名其妙的黑化，乱七八糟的打斗，拯救世界的鸡汤随意乱晒，中文台词的翻译腔也让人抓狂，但这一切都在最后的如来神掌面前相形见绌。
97$20435622$环太平洋：雷霆再起$芦哲峰$2018-05-02 16:41:45$7$炮轰不如拳打，拳打不如身砸。用最先进的技术，玩最原始的肉搏。越来越尬。
98$20435622$环太平洋：雷霆再起$有心打扰$2018-03-27 23:30:25$5$太可怕了！每分每秒都能体会到演员在片场感受到的尴尬…
99$20435622$环太平洋：雷霆再起$青山绿水$2018-03-29 19:36:06$22$对这类电影真心越来越失望，光是几个雷死人的特效，没什么让你能记住的剧情
100$20435622$环太平洋：雷霆再起$李广仙$2018-03-23 20:47:47$12$景甜拯救世界🤦🏻♀️
101$20435622$环太平洋：雷霆再起$纤指十三$2018-03-24 18:35:12$31$看特效就够值回票价了。
102$20435622$环太平洋：雷霆再起$张春[阿卡纳]$2018-03-23 17:21:10$13$看完好想当怪兽噢。
103$20435622$环太平洋：雷霆再起$河堤上的貓$2018-03-24 02:30:29$39$還可以吧！覺得動作場面比上一集還多，配樂也不錯，依爽片看很值了
104$20435622$环太平洋：雷霆再起$嘉兴路派出所$2018-03-23 14:34:41$26$剧情还可以吧，最让人感到尴尬的是说中文的时候，真的很没有气势啊
105$20435622$环太平洋：雷霆再起$惘然$2018-03-23 16:52:29$11$怪兽灭地球，机甲打怪兽，英雄驾机甲，景甜救英雄……所以就是景甜救地球！景甜救人类！景甜救世界！颤抖吧，怪兽！颤抖吧，人类！
106$20435622$环太平洋：雷霆再起$猪大腿$2018-03-25 07:21:07$4$满场的亚洲面孔证明老外爱看变形金刚、爱看怪兽电影、可就是不爱看机器人打怪兽，所以还有续集的话也别假惺惺找黑哥做主角了，直接扶正大甜甜多好！一路给你从长城打到骷髅岛再打到环太平洋最后打去外太空，完美。
107$20435622$环太平洋：雷霆再起$文森特九六$2018-03-23 11:19:56$12$身为昭和系特摄粉，较之从头爽到尾的第一部，这部看得几乎毫无感觉，估计德胖看了也不会有多大感觉，估计卖拷贝看了会很有感觉，估计导演压根儿就没搞明白第一部的成功是因为什么感觉……
108$20435622$环太平洋：雷霆再起$盒饭$2018-03-24 17:27:25$10$史诗级烂片，并衬托出第一部的伟大。
109$20435622$环太平洋：雷霆再起$黄悦_$2018-03-28 22:11:38$2$中规中矩 导演让无人机失事之后又成功关闭它们是败笔 好吧我知道是在省经费 当然 那么强的大boss死得那么憋屈估计也是省经费的戏码 放低期望来说其实打得挺精彩的 可惜就是24K纯爆米花毫无记忆点 爽过之后辨识度低到甚至连机甲们什么样子都忘了。最后 别再说景甜是烂片王了 她算好了。
