$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$2131940$魔兽$隐$2016-06-07 01:00:31$3030$请接着往下拍！
101$2131940$魔兽$下雪了没有$2016-06-08 09:34:05$25$seriously？打四星五星的你们在逗我？就这种剧情和剪辑？没玩过游戏的路人看的简直一头雾水。还和指环王比，我看省省吧。
102$2131940$魔兽$巴格韦尔$2016-06-08 10:07:35$36$唉，没有想像得那么有意思，估计我再去看个十来遍也就不会再看了~~
103$2131940$魔兽$川久$2016-06-07 23:20:53$27$为了联盟！为了国王的荣耀！为了艾泽拉斯！
104$2131940$魔兽$卢十四$2016-06-09 23:58:54$16$我一个不玩魔兽的人看来感觉也不错。部落和联盟谁也不能是反派，于是果然是上了奸人的当，误会误会。不知为什么感觉剪辑得有点浮皮潦草。作为第一部主要是展开故事，为拍续集埋下了许多梗。
105$2131940$魔兽$芥末蘸酱$2016-06-08 21:46:13$20$没啥拍出来的必要，整部电影下来没有一场戏让人记得住，和《猎神》差不多水准，豆瓣评分却差了3分。
106$2131940$魔兽$Steven$2016-06-08 04:43:36$25$当我在电影院看到一个孕妇来看电影的时候，我就知道，魔兽，是真的让你做了一件从未做过的事情。
107$2131940$魔兽$忧郁小猫猫$2016-06-30 10:12:03$13$太无趣了，中间几次想玩手机，看完魔兽半小时后马上看了x战警，观影感觉对比强烈，x战警从剧情和视觉效果、场面来说都比魔兽好看
108$2131940$魔兽$寒武纪$2016-06-08 13:29:16$26$空洞无物
109$2131940$魔兽$柳无码🌈$2016-06-08 19:56:05$14$即使不玩游戏，也会觉得好看。1狮鹫萌萌哒；2除了弱鸡卡德加，每个人都苦逼要死；3伽罗娜真是命运坎坷；4杜隆坦⋯⋯555，麦迪文⋯⋯555，国王⋯⋯555；5好一出古典悲剧大戏。
110$2131940$魔兽$萝卜$2016-06-08 08:09:36$31$我就是脑残粉，就是无脑五星
111$2131940$魔兽$山子仙$2016-06-07 21:45:54$26$看到魔兽就来5星了
112$2131940$魔兽$机械兵$2016-06-08 17:07:45$25$没啥好说的，就算有一百个bug，也会傲娇的打个五星飘过。
113$2131940$魔兽$月小虫$2016-06-08 09:02:32$27$作为魔兽迷来说觉得还不错的 比想象中的好 至于那些说看不懂的  这 真的不怪你们
114$2131940$魔兽$倚竹听风$2016-06-08 11:10:00$22$死忠，为什么不能打六星？
115$2131940$魔兽$IanIanIan-$2016-06-08 22:09:03$30$失望大于期望
116$2131940$魔兽$归去来兮$2016-06-08 18:08:44$28$想凸显自己高贵逼格的人士，打一星的做法确实有点low😀
117$2131940$魔兽$再见淡淡$2016-06-08 08:16:40$31$小时代5:魔兽时代
118$2131940$魔兽$Ruby超人小姐$2016-06-08 22:22:05$12$好看~不玩游戏的我就问一个问题，兽人手指那么粗怎么抠鼻孔呀？
119$2131940$魔兽$huge1023$2016-06-08 12:52:50$26$一点也不好看
120$2131940$魔兽$Spike$2016-06-08 08:37:06$25$"呵呵 侮辱智商
"
121$2131940$魔兽$m9000$2016-06-08 16:00:21$29$不喜欢，不好看~
122$2131940$魔兽$nicaidemao$2016-06-08 16:01:12$28$剧情硬伤，实在不想说什么
123$2131940$魔兽$梦境里有过谁$2016-06-08 09:10:13$23$依旧是我爱的那个世界
124$2131940$魔兽$幸福的小妖$2016-06-07 21:35:40$18$磅礴，霸气，热血，豪情
125$2131940$魔兽$小四不象$2016-05-31 01:26:02$23$首映日第一时间去看了IMAX，观影体验还算不错，但并没有被惊艳到。细节方面尤其是道具做得极好，洛萨和莱恩国王的盔甲和剑特别特别帅。剧情方面则是短板，编剧并没有组织好魔兽的开篇剧情素材，也没掌握好叙事节奏，显得拖沓。尤其对那些非游戏玩家来说，麦迪文的黑化简直莫名其妙，毫无铺垫。
126$2131940$魔兽$恩之$2016-05-30 09:55:00$20$I am Durotan, son of Garad, chiefttain of the Frostwolf clan, 一下就泪奔了
127$2131940$魔兽$绿英意难平$2016-06-08 13:03:06$24$片子真的不太好看……
128$2131940$魔兽$叶杉$2016-06-08 16:28:00$22$暴雪的粉丝千万别给引出好奇心来。
129$2131940$魔兽$恶魔的步调$2016-06-08 21:55:05$10$吴彦祖吹了口气，阿凡达变成史瑞克。当Garona揭示自己既非兽又非人的时候，身边的小伙伴欢快地哼起了周杰伦的小曲。
